Stkcd,ShortName,Indcd,Indnme,sector,resist_count,resist_crises,rev_growth_2008金融危机,rev_growth_2015股灾,rev_growth_2018去杠杆,rev_growth_2020疫情,np_growth_2008金融危机,np_growth_2015股灾,np_growth_2018去杠杆,np_growth_2020疫情,avg_rev_growth,avg_np_growth,avg_cf_change,avg_roe_change,avg_gm_change,avg_lev_change,roe_2024,leverage_2024,quality_filtered
000592,平潭发展,A02,林业,A,4,2008金融危机; 2015股灾; 2018去杠杆; 2020疫情,1497.1559414531046,0.11382152178854155,0.1025957314590616,0.2771801156518063,-0.7827570241885031,-0.4558849833024937,5.570264801389559,-17.63589806884016,374.412384705501,-3.3260688187353993,-356429743.2575,0.6670663403707573,-0.048594368040720606,-0.35287769891110066,-0.0645326146939093,0.4692726061201307,False
000557,西部创业,G53,铁路运输业,G,4,2008金融危机; 2015股灾; 2018去杠杆; 2020疫情,0.03011520340049652,70.51976310937106,0.15356415955183841,0.11994273520270982,-16.26359768003366,55.21249931667503,0.6939884935182818,2.8328718586313357,17.705846301881525,10.618940497197748,-23671818.08999999,0.11371730959661873,-0.038241719186970696,0.15921749408460514,0.043042782878226465,0.09943234913557161,False
600466,蓝光发展,K70,房地产业,K,4,2008金融危机; 2015股灾; 2018去杠杆; 2020疫情,0.15243977978713347,43.09372991667885,0.25526401785879776,0.09602816374917296,0.8178689316811921,74.95663275380869,0.9957097891113281,-0.11610472733302714,10.89936546951849,19.163526686817047,-3922119594.545,0.01803592439396306,-0.08578929413165048,0.14951110518410135,,,False
600629,华建集团,M74,专业技术服务业,M,4,2008金融危机; 2015股灾; 2018去杠杆; 2020疫情,0.5985480632408612,7.7999623531885325,0.12650419138233304,0.20120823387875553,0.5377069464361974,21.28547976771126,0.04168734313156857,-0.25418654895616216,2.1815557104226206,5.402671877080716,226442614.0725,-0.06168263187426885,0.019574722389820665,0.04595058055793047,0.06463420141360493,0.6488010013773056,False
600539,ST 狮头,C30,非金属矿物制品业,C,4,2008金融危机; 2015股灾; 2018去杠杆; 2020疫情,0.11810431890713965,3.4296177377412347,0.20832160482488843,2.7573284149319095,-0.3086984737575952,1.048543505824848,1.295569997769774,2.0978815775587187,1.628343019101293,1.0333241518489364,39826416.265,0.0773231343875208,0.031775513498859154,0.03708215096628082,-0.10485586886071867,0.20647796006878438,False
600803,新奥股份,C26,化学原料及化学制品制造业,C,4,2008金融危机; 2015股灾; 2018去杠杆; 2020疫情,0.11421200383947301,0.16235528362674914,0.3584075017927871,5.504608852400646,-0.49734793463957233,-0.03929438080712058,1.0299985812917494,5.616648050571904,1.5348959104149138,1.52750107910424,2857359089.365,0.027423461583060818,-0.0073160458066115625,0.02167101729506224,0.1642419406441076,0.5430239833946598,True
600707,彩虹股份,C39,计算机、通信和其他电子设备制造业,C,4,2008金融危机; 2015股灾; 2018去杠杆; 2020疫情,0.7735648431457735,0.47219228986590744,3.260637319655738,0.7829124588768943,2.105870112461655,1.0371922917694447,0.8810983986587282,-15.420625669739184,1.3223267278860784,-2.849116216712339,730401833.3299999,0.18521687718901556,0.09124761490416547,0.0033277730001769756,0.056730400328812026,0.45617415436468944,False
600649,城投控股,K70,房地产业,K,4,2008金融危机; 2015股灾; 2018去杠杆; 2020疫情,1.656046396278342,0.6177995491197119,1.1468911051282167,0.8017746661995567,1.4586301684087466,0.8203203522496728,-0.33766794951712187,0.20623091591683854,1.0556279291814568,0.536878371764534,2983824007.7974997,0.020820274365486453,-0.06543644980418682,0.09518095219301542,0.009705595294060426,0.7430533932302067,False
600704,物产中大,F51,批发业,F,4,2008金融危机; 2015股灾; 2018去杠杆; 2020疫情,0.017036462295610892,3.8082215831825703,0.08655371850399417,0.12569924432369473,0.019190547478863017,3.02279267561175,0.1659751532689089,0.033279652057054854,1.0093777520764675,0.8103095071041443,3714521788.5674996,0.006920102336484477,-0.01287763983384168,-0.01783291813064855,0.08594865212937833,0.670692147319906,False
600711,盛屯矿业,B09,有色金属矿采选业,B,4,2008金融危机; 2015股灾; 2018去杠杆; 2020疫情,2.458141907096738,0.9898690913117932,0.430047386889415,0.09284006373821042,-0.6104930862466915,0.029453191853957637,-0.19377258812974252,-0.31191649578263525,0.9927246122590392,-0.2716822445762779,70806648.82250002,-0.07487841302219021,-0.12868093006391015,0.010738393420662948,0.13390257191765315,0.5497202360089243,True
000004,国华网安,I65,软件和信息技术服务业,I,4,2008金融危机; 2015股灾; 2018去杠杆; 2020疫情,0.0708359910406312,0.49430822185463086,1.6468495083557662,1.591589537283446,-0.14819289299766336,-0.5611370539771101,-4.667989920324734,18.2004483238552,0.9508958146336186,3.2057821141389224,-6182127.085,-0.04861099010369199,0.06654034341204085,0.07349917054203922,-1.8819299243180108,0.7657097869968321,False
